TC No,Name,Precondition,Test Script (Step-by-Step) - Test Data,Test Script (Step-by-Step) - Step,Test Script (Step-by-Step) - Expected Result
1,"Verify the Opt-in & Opt-out functionality for ASMO/APAC/PROC/IJKK GEO's by clicking on ""Cancel"" button in popup ",,,,
2,"Verify the Opt-in & Opt-out functionality for ASMO/APAC/PROC/IJKK GEO's by clicking on ""Ok"" button in popup",,,,
3,Verify the Opt-in & Opt-out functionality for GEO as EMEA,,,,
